"logZ"
0
-0.101014903499262
-0.222757816218538
-0.367949004826912
-0.532529813272014
-0.715419250772305
-0.917843779097774
-1.14237232762872
-1.39248755506859
-1.67647031771932
-1.98716723408124
-2.32433839520603
-2.70029753534322
-3.1079797302738
-3.56423108624908
-4.07089842764435
-4.62198117659284
-5.23390118663666
-5.90248829541387
-6.6474240509971
-7.46394056810975
-8.3578558815389
-9.33791146211949
-10.4064835514044
-11.5772826603364
-12.8765197029043
-14.3170468228116
-15.8885528841415
-17.6118890508217
-19.5366698416079
-21.6426147916557
-24.0004290863404
-26.5570284786532
-29.3634350802723
-32.444462563806
-35.7865481349148
-39.511823080421
-43.5841025489904
-48.0718916380105
-52.961704789324
-58.2460659865661
-63.9972352026957
-70.1953574716098
-76.8560501351987
-84.2011200055896
-92.1670335007666
-100.908836803864
-110.393237601466
-120.7418816286
-132.043384762622
-144.191686142863
-157.386350006995
-171.59949564081
-186.946667123375
-203.281430683666
-220.913339036351
-237.450979007295
