"logZ"
0
-0.0988037424672488
-0.214310397860318
-0.346197798067649
-0.494130289785588
-0.65665268158968
-0.837775605205417
-1.0365327339435
-1.25067213601829
-1.48400812400767
-1.73623015322516
-2.01053132129133
-2.30795962285523
-2.62941334298993
-2.97567304943405
-3.34865686406763
-3.75529307910163
-4.19023905390498
-4.65686434343847
-5.17958332769847
-5.74966919344946
-6.36017860298512
-7.02248527165285
-7.74105534442787
-8.52933253037727
-9.38559942966454
-10.3193552916615
-11.3507008495736
-12.4934572093241
-13.7530301387188
-15.130737770712
-16.6478278316932
-18.3106814040749
-20.1382480939262
-22.1438983182274
-24.3438377200298
-26.7275348762236
-29.3407547129474
-32.19484131737
-35.3297731698799
-38.7823333168506
-42.5458640228435
-46.6402556140914
-51.094838302841
-55.92963296454
-61.1505046174652
-66.8911269500659
-73.1996345024449
-80.0345238841868
-87.4789868048748
-95.5351427266025
-104.291820083118
-113.715202211881
-123.925226727865
-135.132115215193
-147.178006845626
-160.304890618429
-174.647388927433
-189.998529877541
-206.651376201123
-224.899598301074
-244.600834300227
-246.49196870923
