"logZ"
0
-0.0952768334437808
-0.21835157598202
-0.358350349300668
-0.515816553714065
-0.669970997269727
-0.860573010522336
-1.0649604369583
-1.28550443787265
-1.51614428514201
-1.78049817590578
-2.06087507399326
-2.37439573766453
-2.68532626476716
-3.00317258973051
-3.36015894217989
-3.74957023902869
-4.19024118626692
-4.69777673393196
-5.23900104695541
-5.84240466676643
-6.46476967473654
-7.14469078035305
-7.91125294684179
-8.7639872143569
-9.71473103272348
-10.743515181914
-11.8666329051369
-13.037698385032
-14.3315384246253
-15.8094438540293
-17.3445950026653
-19.0016570247767
-20.7433846712423
-22.6315925176276
-24.8329216813923
-27.3679960581463
-30.0669488011949
-32.9177381185249
-36.0620133183747
-39.7154561840255
-43.6583795556982
-47.9351904372013
-52.7837799675444
-57.6231685994139
-62.9946610827728
-68.6557767580282
-74.838035986231
-81.3931707110764
-88.3802776965789
-96.1872860662656
-104.52115754759
-113.645554210389
-123.619085262326
-134.263144629787
-145.96340490637
-158.536202765656
-172.313605181017
-187.51982812718
-203.176010776843
-220.108179382764
-238.365184293698
-246.533381708799
